"Crop","Crop_Year","Season","State","Area","Annual_Rainfall","Fertilizer","Pesticide","Yield"
"Rice",1998,"Summer","Kerala",57700,3151.5,5700760,16733,2.116153846
"Rice",1998,"Winter","Kerala",174714,3151.5,17261743.2,50667.06,1.937142857
"Ginger",1998,"Kharif","Meghalaya",7403,6552.7,731416.4,2146.87,6.008571429
"Potato",1998,"Whole Year","Meghalaya",20753,6552.7,2050396.4,6018.37,7.738571429
"Rice",1998,"Kharif","Meghalaya",105402,6552.7,10413717.6,30566.58,1.51
"Wheat",1998,"Rabi","Meghalaya",4287,6552.7,423555.6,1243.23,1.605
"Ginger",1998,"Kharif","West Bengal",9398,2152.5,928522.4,2725.42,1.449444444
"Potato",1998,"Whole Year","West Bengal",318199,2152.5,31438061.2,92277.71,18.95944444
"Rice",1998,"Autumn","West Bengal",425002,2152.5,41990197.6,123250.58,1.751111111
"Rice",1998,"Summer","West Bengal",1450473,2152.5,143306732.4,420637.17,3.22
"Rice",1998,"Winter","West Bengal",4028620,2152.5,398027656,1168299.8,1.781666667
"Wheat",1998,"Rabi","West Bengal",367472,2152.5,36306233.6,106566.88,1.870555556
"Potato",1999,"Whole Year","Assam",76748,2201.8,8145265.24,20721.96,8.062608696
"Rice",1999,"Autumn","Assam",557220,2201.8,59137758.6,150449.4,1.094782609
"Rice",1999,"Summer","Assam",294654,2201.8,31271629.02,79556.58,1.990434783
"Rice",1999,"Winter","Assam",1793994,2201.8,190396583.2,484378.38,1.501304348
"Wheat",1999,"Rabi","Assam",76310,2201.8,8098780.3,20603.7,1.256818182
"Rice",1999,"Kharif","Goa",40500,3879.3,4298265,10935,2.38
"Rice",1999,"Rabi","Goa",16213,3879.3,1720685.69,4377.51,2.69
"Ginger",1999,"Whole Year","Kerala",11264,2914.6,1195448.32,3041.28,3.159285714
"Rice",1999,"Autumn","Kerala",121525,2914.6,12897448.25,32811.75,2.081538462
"Rice",1999,"Summer","Kerala",58021,2914.6,6157768.73,15665.67,2.292857143
"Rice",1999,"Winter","Kerala",170228,2914.6,18066297.64,45961.56,2.097142857
"Ginger",1999,"Kharif","Meghalaya",7606,6200.3,807224.78,2053.62,5.765714286
"Potato",1999,"Whole Year","Meghalaya",18339,6200.3,1946318.07,4951.53,6.858571429
"Rice",1999,"Kharif","Meghalaya",102482,6200.3,10876414.66,27670.14,1.605714286
"Rice",1999,"Rabi","Meghalaya",3929,6200.3,416984.77,1060.83,1.755714286
"Ginger",1999,"Kharif","Puducherry",133,1434.5875,14115.29,35.91,0.676666667
"Rice",1999,"Kharif","Puducherry",25444,1434.5875,2700371.72,6869.88,2.61
"Ginger",1999,"Kharif","West Bengal",9165,2318.1,972681.45,2474.55,1.662777778
"Potato",1999,"Summer","West Bengal",2478,2318.1,262990.14,669.06,13.4
"Potato",1999,"Winter","West Bengal",313373,2318.1,33258276.49,84610.71,20.56777778
"Rice",1999,"Autumn","West Bengal",427155,2318.1,45333960.15,115331.85,1.868888889
"Rice",1999,"Summer","West Bengal",1474338,2318.1,156471491.9,398071.26,2.897222222
"Rice",1999,"Winter","West Bengal",4248946,2318.1,450940639,1147215.42,1.906666667
"Wheat",1999,"Rabi","West Bengal",364155,2318.1,38647770.15,98321.85,2.096666667
"Ginger",2000,"Whole Year","Andhra Pradesh",2329,935.6,228637.93,605.54,3.14875
"Potato",2000,"Whole Year","Andhra Pradesh",2489,935.6,244345.13,647.14,6.14375
"Rice",2000,"Kharif","Andhra Pradesh",3003673,935.6,294870578.4,780954.98,2.7
"Rice",2000,"Rabi","Andhra Pradesh",1239053,935.6,121637833,322153.78,2.939090909
"Wheat",2000,"Rabi","Andhra Pradesh",14261,935.6,1400002.37,3707.86,0.581818182
"Potato",2000,"Whole Year","Assam",80504,1965.5,7903077.68,20931.04,7.459565217
"Rice",2000,"Autumn","Assam",539665,1965.5,52978913.05,140312.9,1.197826087
"Rice",2000,"Summer","Assam",329255,1965.5,32322963.35,85606.3,1.825217391
"Rice",2000,"Winter","Assam",1777257,1965.5,174473319.7,462086.82,1.581304348
"Wheat",2000,"Rabi","Assam",70301,1965.5,6901449.17,18278.26,1.175909091
"Rice",2000,"Kharif","Goa",41000,3886.9,4024970,10660,2.36
"Rice",2000,"Rabi","Goa",16207,3886.9,1591041.19,4213.82,2.81
"Ginger",2000,"Kharif","Karnataka",10758,1213.3,1056112.86,2797.08,12.76823529
"Potato",2000,"Whole Year","Karnataka",38298,1213.3,3759714.66,9957.48,11.70933333
"Rice",2000,"Kharif","Karnataka",1120549,1213.3,110004295.3,291342.74,2.357407407
"Rice",2000,"Rabi","Karnataka",52005,1213.3,5105330.85,13521.3,2.064615385
"Rice",2000,"Summer","Karnataka",310892,1213.3,30520267.64,80831.92,2.751304348
"Wheat",2000,"Rabi","Karnataka",266310,1213.3,26143652.7,69240.6,0.93375
"Ginger",2000,"Whole Year","Kerala",11612,2412.6,1139950.04,3019.12,2.957142857
"Rice",2000,"Autumn","Kerala",129752,2412.6,12737753.84,33735.52,1.938461538
"Rice",2000,"Summer","Kerala",55258,2412.6,5424677.86,14367.08,2.23
"Rice",2000,"Winter","Kerala",162445,2412.6,15947225.65,42235.7,2.042857143
"Ginger",2000,"Kharif","Meghalaya",7811,6258.8,766805.87,2030.86,5.897142857
"Potato",2000,"Whole Year","Meghalaya",18318,6258.8,1798278.06,4762.68,6.954285714
"Rice",2000,"Kharif","Meghalaya",102657,6258.8,10077837.69,26690.82,1.681428571
"Rice",2000,"Rabi","Meghalaya",4003,6258.8,392974.51,1040.78,1.744285714
"Wheat",2000,"Rabi","Meghalaya",4215,6258.8,413786.55,1095.9,1.395
"Ginger",2000,"Kharif","Puducherry",227,1434.5875,22284.59,59.02,0.54
"Rice",2000,"Kharif","Puducherry",42779,1434.5875,4199614.43,11122.54,2.605
"Ginger",2000,"Kharif","West Bengal",9328,1907.7,915729.76,2425.28,1.524444444
"Potato",2000,"Whole Year","West Bengal",299664,1907.7,29418014.88,77912.64,22.39388889
"Rice",2000,"Autumn","West Bengal",393944,1907.7,38673482.48,102425.44,1.648333333
"Rice",2000,"Summer","West Bengal",1401841,1907.7,137618731,364478.66,3.021111111
"Rice",2000,"Winter","West Bengal",3639538,1907.7,357293445.5,946279.88,1.876111111
"Wheat",2000,"Rabi","West Bengal",426000,1907.7,41820420,110760,2.330555556
"Ginger",2001,"Whole Year","Andhra Pradesh",2547,928.4,260125.11,662.22,2.4375
"Potato",2001,"Whole Year","Andhra Pradesh",2348,928.4,239801.24,610.48,5.85
"Rice",2001,"Kharif","Andhra Pradesh",2426073,928.4,247774835.5,630778.98,2.627272727
"Rice",2001,"Rabi","Andhra Pradesh",1398674,928.4,142846575.6,363655.24,3.025909091
"Wheat",2001,"Rabi","Andhra Pradesh",13793,928.4,1408679.09,3586.18,0.6275
"Potato",2001,"Whole Year","Assam",80056,1824.7,8176119.28,20814.56,7.350869565
"Rice",2001,"Autumn","Assam",495698,1824.7,50625636.74,128881.48,1.120434783
"Rice",2001,"Summer","Assam",325987,1824.7,33293052.31,84756.62,1.806521739
"Rice",2001,"Winter","Assam",1714736,1824.7,175125987.7,445831.36,1.600434783
"Wheat",2001,"Rabi","Assam",72245,1824.7,7378381.85,18783.7,1.185217391
"Rice",2001,"Kharif","Goa",32746,2530.6,3344348.98,8513.96,2.41
"Rice",2001,"Rabi","Goa",16637,2530.6,1699136.81,4325.62,2.85
"Ginger",2001,"Kharif","Karnataka",10677,1002.9,1090442.01,2776.02,12.86277778
"Potato",2001,"Whole Year","Karnataka",39156,1002.9,3999002.28,10180.56,12.815
"Rice",2001,"Kharif","Karnataka",1087967,1002.9,111114069.7,282871.42,2.154814815
"Rice",2001,"Rabi","Karnataka",53480,1002.9,5461912.4,13904.8,1.840714286
"Rice",2001,"Summer","Karnataka",276277,1002.9,28216170.01,71832.02,2.4368
"Wheat",2001,"Rabi","Karnataka",260486,1002.9,26603435.18,67726.36,0.777333333
"Ginger",2001,"Whole Year","Kerala",10706,2946.7,1093403.78,2783.56,3.167857143
"Rice",2001,"Autumn","Kerala",116540,2946.7,11902230.2,30300.4,1.886923077
"Rice",2001,"Summer","Kerala",43850,2946.7,4478400.5,11401,2.151428571
"Rice",2001,"Winter","Kerala",161978,2946.7,16542813.14,42114.28,2.153571429
"Ginger",2001,"Kharif","Meghalaya",8897,4241,908650.61,2313.22,5.837142857
"Potato",2001,"Whole Year","Meghalaya",18151,4241,1853761.63,4719.26,7.288571429
"Rice",2001,"Kharif","Meghalaya",107761,4241,11005630.93,28017.86,1.751428571
"Wheat",2001,"Rabi","Meghalaya",2753,4241,281163.89,715.78,1.455
"Ginger",2001,"Kharif","Puducherry",171,1434.5875,17464.23,44.46,0.375
"Rice",2001,"Kharif","Puducherry",26263,1434.5875,2682240.19,6828.38,2.415
"Ginger",2001,"Kharif","West Bengal",8133,1556.6,830623.29,2114.58,1.52
"Potato",2001,"Whole Year","West Bengal",299821,1556.6,30620718.73,77953.46,21.95444444
"Rice",2001,"Autumn","West Bengal",353048,1556.6,36056792.24,91792.48,2.094705882
"Rice",2001,"Summer","West Bengal",1366273,1556.6,139537461.5,355230.98,2.788823529
"Rice",2001,"Winter","West Bengal",3783766,1556.6,386436021.6,983779.16,2.235294118
"Wheat",2001,"Rabi","West Bengal",434004,1556.6,44324828.52,112841.04,2.109444444
"Ginger",2002,"Whole Year","Andhra Pradesh",2026,648.1,191801.42,506.5,1.635
"Potato",2002,"Whole Year","Andhra Pradesh",2672,648.1,252958.24,668,6.946666667
"Rice",2002,"Kharif","Andhra Pradesh",2109301,648.1,199687525.7,527325.25,2.202727273
"Rice",2002,"Rabi","Andhra Pradesh",712766,648.1,67477557.22,178191.5,2.533636364
"Wheat",2002,"Rabi","Andhra Pradesh",11044,648.1,1045535.48,2761,1.09
"Potato",2002,"Whole Year","Assam",75486,1973.6,7146259.62,18871.5,7.566956522
"Rice",2002,"Autumn","Assam",464497,1973.6,43973930.99,116124.25,1.076521739
"Rice",2002,"Summer","Assam",327468,1973.6,31001395.56,81867,1.794347826
"Rice",2002,"Winter","Assam",1748715,1973.6,165550849.1,437178.75,1.545652174
"Wheat",2002,"Rabi","Assam",69061,1973.6,6538004.87,17265.25,1.152272727
"Rice",2002,"Kharif","Goa",33728,2516.3,3193029.76,8432,2.67
"Rice",2002,"Rabi","Goa",16441,2516.3,1556469.47,4110.25,2.72
"Ginger",2002,"Whole Year","Kerala",8998,2511.2,851840.66,2249.5,2.951428571
"Rice",2002,"Autumn","Kerala",112438,2511.2,10644505.46,28109.5,2.130769231
"Rice",2002,"Summer","Kerala",41079,2511.2,3888948.93,10269.75,2.212142857
"Rice",2002,"Winter","Kerala",157004,2511.2,14863568.68,39251,2.123571429
"Ginger",2002,"Whole Year","Tamil Nadu",416,315.9,39382.72,104,16.00888889
"Potato",2002,"Whole Year","Tamil Nadu",4537,315.9,429517.79,1134.25,18.3475
"Rice",2002,"Kharif","Tamil Nadu",1516537,315.9,143570557.8,379134.25,2.884642857
"Ginger",2002,"Kharif","West Bengal",9383,1629.1,888288.61,2345.75,1.698888889
"Potato",2002,"Summer","West Bengal",2395,1629.1,226734.65,598.75,12.86
"Potato",2002,"Winter","West Bengal",346906,1629.1,32841591.02,86726.5,20.73388889
"Rice",2002,"Autumn","West Bengal",384965,1629.1,36444636.55,96241.25,2.092777778
"Rice",2002,"Summer","West Bengal",1406078,1629.1,133113404.3,351519.5,2.747777778
"Rice",2002,"Winter","West Bengal",4051084,1629.1,383516122.3,1012771,2.221666667
"Wheat",2002,"Rabi","West Bengal",405350,1629.1,38374484.5,101337.5,1.992777778
"Ginger",2003,"Whole Year","Andhra Pradesh",1873,826,185389.54,449.52,2.995
"Potato",2003,"Whole Year","Andhra Pradesh",2648,826,262099.04,635.52,9.045
"Rice",2003,"Kharif","Andhra Pradesh",2108904,826,208739317.9,506136.96,2.670909091
"Rice",2003,"Rabi","Andhra Pradesh",865734,826,85690351.32,207776.16,2.729090909
"Wheat",2003,"Rabi","Andhra Pradesh",11928,826,1180633.44,2862.72,0.481818182
"Potato",2003,"Whole Year","Assam",77894,2213.7,7709948.12,18694.56,6.471304348
"Rice",2003,"Autumn","Assam",441143,2213.7,43664334.14,105874.32,1.118695652
"Rice",2003,"Summer","Assam",319480,2213.7,31622130.4,76675.2,1.493913043
"Rice",2003,"Winter","Assam",1769203,2213.7,175115712.9,424608.72,1.618695652
"Wheat",2003,"Rabi","Assam",69954,2213.7,6924046.92,16788.96,1.040909091
"Rice",2003,"Kharif","Goa",35471,3011.6,3510919.58,8513.04,3.27
"Rice",2003,"Rabi","Goa",17330,3011.6,1715323.4,4159.2,3.15
"Ginger",2003,"Kharif","Karnataka",8281,867.6,819653.38,1987.44,12.818125
"Potato",2003,"Whole Year","Karnataka",53076,867.6,5253462.48,12738.24,9.008666667
"Rice",2003,"Kharif","Karnataka",944272,867.6,93464042.56,226625.28,2.133333333
"Rice",2003,"Rabi","Karnataka",54629,867.6,5407178.42,13110.96,2.892
"Rice",2003,"Summer","Karnataka",74998,867.6,7423302.04,17999.52,3.8768
"Wheat",2003,"Rabi","Karnataka",231994,867.6,22962766.12,55678.56,0.516428571
"Ginger",2003,"Whole Year","Kerala",8516,2386,842913.68,2043.84,2.874285714
"Rice",2003,"Autumn","Kerala",102770,2386,10172174.6,24664.8,2.140769231
"Rice",2003,"Summer","Kerala",37186,2386,3680670.28,8924.64,1.845
"Rice",2003,"Winter","Kerala",147384,2386,14588068.32,35372.16,1.960714286
"Ginger",2003,"Kharif","Meghalaya",8982,3321.3,889038.36,2155.68,6.782857143
"Potato",2003,"Whole Year","Meghalaya",18035,3321.3,1785104.3,4328.4,7.241428571
"Rice",2003,"Kharif","Meghalaya",109721,3321.3,10860184.58,26333.04,1.798571429
"Wheat",2003,"Rabi","Meghalaya",862,3321.3,85320.76,206.88,1.49
"Ginger",2003,"Kharif","Puducherry",187,1434.5875,18509.26,44.88,0.565
"Rice",2003,"Kharif","Puducherry",25065,1434.5875,2480933.7,6015.6,2.993333333
"Ginger",2003,"Kharif","Tamil Nadu",395,345.6,39097.1,94.8,14.11833333
"Potato",2003,"Whole Year","Tamil Nadu",4341,345.6,429672.18,1041.84,17.054
"Rice",2003,"Kharif","Tamil Nadu",1396651,345.6,138240516,335196.24,2.728214286
"Ginger",2003,"Kharif","West Bengal",8053,1526.7,797085.94,1932.72,1.623529412
"Potato",2003,"Whole Year","West Bengal",308425,1526.7,30527906.5,74022,21.86777778
"Rice",2003,"Autumn","West Bengal",339753,1526.7,33628751.94,81540.72,2.131666667
"Rice",2003,"Summer","West Bengal",1390148,1526.7,137596849,333635.52,2.879444444
"Rice",2003,"Winter","West Bengal",4126706,1526.7,408461359.9,990409.44,2.283333333
"Wheat",2003,"Rabi","West Bengal",425721,1526.7,42137864.58,102173.04,2.194444444
"Ginger",2004,"Kharif","Karnataka",11019,1117.7,1193798.46,2313.99,12.84
"Potato",2004,"Whole Year","Karnataka",51937,1117.7,5626854.58,10906.77,10.17875
"Rice",2004,"Kharif","Karnataka",1055061,1117.7,114305308.7,221562.81,2.37
"Rice",2004,"Rabi","Karnataka",43861,1117.7,4751900.74,9210.81,3.388666667
"Rice",2004,"Summer","Karnataka",209257,1117.7,22670903.38,43943.97,4.251666667
"Wheat",2004,"Rabi","Karnataka",241991,1117.7,26217304.94,50818.11,0.845333333
"Ginger",2004,"Whole Year","Kerala",9991,2880.2,1082424.94,2098.11,3.022857143
"Rice",2004,"Autumn","Kerala",105349,2880.2,11413510.66,22123.29,2.271538462
"Rice",2004,"Summer","Kerala",35732,2880.2,3871204.88,7503.72,2.256923077
"Rice",2004,"Winter","Kerala",148893,2880.2,16131067.62,31267.53,2.175714286
"Ginger",2004,"Kharif","Meghalaya",9222,4767.9,999111.48,1936.62,6.122857143
"Potato",2004,"Whole Year","Meghalaya",17287,4767.9,1872873.58,3630.27,7.178571429
"Rice",2004,"Autumn","Meghalaya",32667,4767.9,3539142.78,6860.07,1.492857143
"Rice",2004,"Summer","Meghalaya",9224,4767.9,999328.16,1937.04,2.078333333
"Rice",2004,"Winter","Meghalaya",69659,4767.9,7546856.06,14628.39,1.792857143
"Wheat",2004,"Rabi","Meghalaya",863,4767.9,93497.42,181.23,1.156666667
"Ginger",2004,"Kharif","Tamil Nadu",574,1034,62187.16,120.54,19.255
"Potato",2004,"Whole Year","Tamil Nadu",5034,1034,545383.56,1057.14,16.0325
"Rice",2004,"Kharif","Tamil Nadu",1872822,1034,202901535.5,393292.62,3.015172414
"Ginger",2005,"Whole Year","Andhra Pradesh",2161,1075.5,259147.12,453.81,5.812222222
"Potato",2005,"Whole Year","Andhra Pradesh",3275,1075.5,392738,687.75,8.895
"Rice",2005,"Kharif","Andhra Pradesh",2526108,1075.5,302930871.4,530482.68,2.549090909
"Rice",2005,"Rabi","Andhra Pradesh",1455643,1075.5,174560708.6,305685.03,3.132272727
"Wheat",2005,"Rabi","Andhra Pradesh",11109,1075.5,1332191.28,2332.89,0.774
"Potato",2005,"Whole Year","Assam",69638,2184.6,8350988.96,14623.98,5.326296296
"Rice",2005,"Autumn","Assam",398316,2184.6,47766054.72,83646.36,1.132222222
"Rice",2005,"Summer","Assam",314671,2184.6,37735346.32,66080.91,1.637692308
"Rice",2005,"Winter","Assam",1707340,2184.6,204744212.8,358541.4,1.502592593
"Wheat",2005,"Rabi","Assam",49961,2184.6,5991323.12,10491.81,1.084230769
"Ginger",2005,"Whole Year","Karnataka",21669,1316.2,2598546.48,4550.49,12.82411765
"Potato",2005,"Kharif","Karnataka",67623,1316.2,8109350.16,14200.83,3.381333333
"Potato",2005,"Rabi","Karnataka",5416,1316.2,649486.72,1137.36,17.84
"Potato",2005,"Summer","Karnataka",317,1316.2,38014.64,66.57,15.45
"Rice",2005,"Kharif","Karnataka",1075993,1316.2,129033080.6,225958.53,2.50962963
"Rice",2005,"Rabi","Karnataka",44944,1316.2,5389684.48,9438.24,2.2675
"Rice",2005,"Summer","Karnataka",364244,1316.2,43680140.48,76491.24,3.0144
"Wheat",2005,"Rabi","Karnataka",252588,1316.2,30290352.96,53043.48,0.880714286
"Ginger",2005,"Whole Year","Kerala",12226,3030.9,1466141.92,2567.46,3.258571429
"Rice",2005,"Autumn","Kerala",98256,3030.9,11782859.52,20633.76,2.096923077
"Rice",2005,"Summer","Kerala",21857,3030.9,2621091.44,4589.97,2.345714286
"Rice",2005,"Winter","Kerala",155629,3030.9,18663029.68,32682.09,2.189285714
"Ginger",2005,"Kharif","Meghalaya",9625,3374.4,1154230,2021.25,6.558571429
"Potato",2005,"Whole Year","Meghalaya",17986,3374.4,2156881.12,3777.06,7.768571429
"Rice",2005,"Autumn","Meghalaya",32678,3374.4,3918745.76,6862.38,1.597142857
"Rice",2005,"Summer","Meghalaya",9791,3374.4,1174136.72,2056.11,2.245
"Rice",2005,"Winter","Meghalaya",63602,3374.4,7627151.84,13356.42,1.971428571
"Wheat",2005,"Rabi","Meghalaya",670,3374.4,80346.4,140.7,1.306666667
"Ginger",2005,"Kharif","Tamil Nadu",660,1364.1,79147.2,138.6,19.31714286
"Potato",2005,"Whole Year","Tamil Nadu",5005,1364.1,600199.6,1051.05,15.32
"Rice",2005,"Kharif","Tamil Nadu",2050455,1364.1,245890563.6,430595.55,2.895517241
"Ginger",2005,"Kharif","West Bengal",7694,1650.1,922664.48,1615.74,1.726111111
"Potato",2005,"Whole Year","West Bengal",354455,1650.1,42506243.6,74435.55,19.345
"Rice",2005,"Autumn","West Bengal",288129,1650.1,34552429.68,60507.09,2.116111111
"Rice",2005,"Summer","West Bengal",1381957,1650.1,165724283.4,290210.97,2.767222222
"Rice",2005,"Winter","West Bengal",4112863,1650.1,493214531,863701.23,2.317222222
"Wheat",2005,"Rabi","West Bengal",366729,1650.1,43978141.68,77013.09,1.953333333
"Rice",2006,"Kharif","Puducherry",5010,1434.5875,639827.1,1102.2,2.64
"Rice",2006,"Rabi","Puducherry",12061,1434.5875,1540310.31,2653.42,4.05
"Rice",2006,"Summer","Puducherry",4574,1434.5875,584145.54,1006.28,3.05
"Ginger",2006,"Kharif","Meghalaya",9639,2454.7,1230996.69,2120.58,7.088571429
"Potato",2006,"Rabi","Meghalaya",18173,2454.7,2320873.83,3998.06,8.212857143
"Rice",2006,"Autumn","Meghalaya",32679,2454.7,4173435.09,7189.38,1.641428571
"Rice",2006,"Rabi","Meghalaya",9854,2454.7,1258454.34,2167.88,2.077142857
"Rice",2006,"Winter","Meghalaya",61752,2454.7,7886347.92,13585.44,1.852857143
"Wheat",2006,"Rabi","Meghalaya",656,2454.7,83777.76,144.32,1.32
"Ginger",2006,"Whole Year","Andhra Pradesh",2439,845.2,311484.69,536.58,3.558
"Potato",2006,"Whole Year","Andhra Pradesh",3645,845.2,465502.95,801.9,12.436
"Rice",2006,"Kharif","Andhra Pradesh",2640870,845.2,337265507.7,580991.4,2.689090909
"Rice",2006,"Rabi","Andhra Pradesh",1337020,845.2,170750824.2,294144.4,3.036818182
"Wheat",2006,"Rabi","Andhra Pradesh",10016,845.2,1279143.36,2203.52,0.68
"Potato",2006,"Whole Year","Assam",77712,1774.9,9924599.52,17096.64,6.657407407
"Rice",2006,"Autumn","Assam",379441,1774.9,48458410.11,83477.02,1.028148148
"Rice",2006,"Summer","Assam",312471,1774.9,39905671.41,68743.62,1.837037037
"Rice",2006,"Winter","Assam",1504647,1774.9,192158468.4,331022.34,1.269259259
"Wheat",2006,"Rabi","Assam",59573,1774.9,7608067.83,13106.06,1.134444444
"Ginger",2006,"Whole Year","Karnataka",17472,1146.3,2231349.12,3843.84,12.83352941
"Potato",2006,"Whole Year","Karnataka",63374,1146.3,8093493.54,13942.28,12.976875
"Rice",2006,"Kharif","Karnataka",1066981,1146.3,136264143.5,234735.82,2.428148148
"Rice",2006,"Rabi","Karnataka",44063,1146.3,5627285.73,9693.86,2.335333333
"Rice",2006,"Summer","Karnataka",284632,1146.3,36350352.72,62619.04,2.6825
"Wheat",2006,"Rabi","Karnataka",269494,1146.3,34417078.74,59288.68,0.810714286
"Ginger",2006,"Whole Year","Kerala",11082,3429.7,1415282.22,2438.04,3.239285714
"Rice",2006,"Autumn","Kerala",83859,3429.7,10709632.89,18448.98,2.270769231
"Rice",2006,"Summer","Kerala",35946,3429.7,4590663.66,7908.12,2.497857143
"Rice",2006,"Winter","Kerala",143724,3429.7,18354992.04,31619.28,2.286428571
"Ginger",2006,"Whole Year","Tamil Nadu",669,927.9,85437.99,147.18,18.65625
"Potato",2006,"Whole Year","Tamil Nadu",5190,927.9,662814.9,1141.8,15.11333333
"Rice",2006,"Kharif","Tamil Nadu",1931397,927.9,246658710.9,424907.34,3.584827586
"Ginger",2006,"Kharif","West Bengal",9816,1631.4,1253601.36,2159.52,1.741666667
"Potato",2006,"Whole Year","West Bengal",407941,1631.4,52098145.11,89747.02,13.35111111
"Rice",2006,"Autumn","West Bengal",283859,1631.4,36251632.89,62448.98,2.001111111
"Rice",2006,"Summer","West Bengal",1401233,1631.4,178951466.4,308271.26,3.028888889
"Rice",2006,"Winter","West Bengal",4001936,1631.4,511087246.6,880425.92,2.291666667
"Wheat",2006,"Rabi","West Bengal",350621,1631.4,44777807.91,77136.62,2.168888889
"Rice",2007,"Kharif","Puducherry",4379,1434.5875,584158.6,700.64,2.986666667
"Rice",2007,"Rabi","Puducherry",11411,1434.5875,1522227.4,1825.76,3.02
"Rice",2007,"Summer","Puducherry",4647,1434.5875,619909.8,743.52,2.21
"Ginger",2007,"Whole Year","Assam",15624,2154.1,2084241.6,2499.84,6.94
"Potato",2007,"Whole Year","Assam",75197,2154.1,10031279.8,12031.52,6.564444444
"Rice",2007,"Autumn","Assam",354115,2154.1,47238941,56658.4,1.082592593
"Rice",2007,"Summer","Assam",322889,2154.1,43073392.6,51662.24,2.085925926
"Rice",2007,"Winter","Assam",1646992,2154.1,219708732.8,263518.72,1.36962963
"Wheat",2007,"Rabi","Assam",56069,2154.1,7479604.6,8971.04,1.225185185
"Ginger",2007,"Whole Year","Karnataka",14780,1323.3,1971652,2364.8,19.98210526
"Potato",2007,"Kharif","Karnataka",54981,1323.3,7334465.4,8796.96,5.07
